Business Name,Address,City,Permit Id,Type,Class,Inspection Date,Inspection Type,Grade,Priority Violation *,
Abrazo West Campus,13677 W Mcdowell Rd ,Goodyear,FD-07344,Hospital Food Service ,Class 5,3/21/19,Routine Inspection,B,1,
Family Dollar Store No 5773,1831 E Mcdowell Rd ,Phoenix,FD-07353,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,B,0,
Bales Elementary School,25400 W Maricopa Rd ,Buckeye,FD-07382,School Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Ward Elementary School,1965 E Hermosa Dr ,Tempe,FD-07384,School Food Service ,Class 2,3/21/19,Routine Inspection,A,0,
Starbucks Coffee No 6874,18555 N 59th Ave Suite 131,Glendale,FD-07396,E & D 10+ Seating ,Class 2,3/25/19,Routine Inspection,Not Participating,0,
Murrietas Carniceria No 2,1911 W Broadway Rd 12-16,Mesa,FD-07404,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,B,0,
Murrietas Carniceria No 2,1911 W Broadway Rd 12-16,Mesa,FD-07405,E & D 0-9 Seating ,Class 4,3/20/19,Routine Inspection,D,3,
Greenfield Village Rv Resort,111 S Greenfield Rd ,Mesa,FD-07449,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,A,0,
Matthews AZcom Bookstore,19555 N 59th Ave ,Glendale,FD-07455,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
Desert Thunder Elementary,16750 W Garfield St ,Goodyear,FD-07468,School Food Service ,Class 3,3/22/19,Verification Visit,A,0,
Life Cafe,381 E Warner Rd ,Gilbert,FD-07482,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,Not Participating,2,
Life Cafe,381 E Warner Rd ,Gilbert,FD-07527,E & D 0-9 Seating ,Class 3,3/20/19,Routine Inspection,Not Participating,0,
Super Carniceria Uruapan No 2,6541 N 59th Ave ,Glendale,FD-07618,Meat Market ,Class 4,3/21/19,Routine Inspection,Not Participating,1,
Super Carniceria Uruapan No 2,6541 N 59th Ave ,Glendale,FD-07619,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,Not Participating,0,
Super Carniceria Uruapan No 2,6541 N 59th Ave ,Glendale,FD-07620,E & D 0-9 Seating ,Class 4,3/21/19,Routine Inspection,Not Participating,1,
Swaddee Thai Cuisine,5055 W Ray Rd Suite 8,Chandler,FD-07621,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,D,4,
Murrietas Carniceria No 2,1911 W Broadway Rd 12-16,Mesa,FD-07640,Meat Market ,Class 4,3/20/19,Routine Inspection,D,2,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-07652,Food Jobber ,Class 2,3/19/19,Routine Inspection,B,0,
CVS Pharmacy No 5778,4040 N 19th Ave ,Phoenix,FD-07862,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
Little Kings & Queens,4136 N 82nd St ,Scottsdale,FD-07880,Daycare Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Marc's Sports Grill,4494 W Peoria Ave Suite 110,Glendale,FD-07947,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,A,1,
St Helen's Social Center,5510 W Cholla ,Glendale,FD-07954,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,A,0,
Safeway Store No 1819,18495 E Queen Creek Rd ,Queen Creek,FD-07981,Retail Food Establishment ,Class 2,3/19/19,Verification Visit,A,0,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-07998,Ice Manufacturing ,Class 2,3/19/19,Routine Inspection,A,0,
Filiberto's,17224 N 19th Ave ,Phoenix,FD-08089,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
Subway No 30644,450 S Sossaman Rd Suite 101,Mesa,FD-08096,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-08113,Food Processor ,Class 4,3/19/19,Routine Inspection,A,0,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-08114,Food Processor ,Class 4,3/19/19,Routine Inspection,A,0,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-08115,Food Processor ,Class 4,3/19/19,Routine Inspection,B,0,
Pho Nhat,1820 W Southern Ave ,Mesa,FD-08123,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,1,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-08125,Meat Market ,Class 4,3/19/19,Routine Inspection,B,1,
Mcso Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-08126,Bakery ,Class 2,3/19/19,Routine Inspection,B,0,
Arby's No 1999,17032 N 99th Ave ,Sun City,FD-08144,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,A,0,
Arby's No 1072,3348 W Bell Rd ,Phoenix,FD-08182,E & D 10+ Seating ,Class 3,3/25/19,Routine Inspection,A,0,
99 Cent Only Store No 0220,8375 W Thunderbird Rd ,Peoria,FD-08258,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
MCSO Food Factory,3150 W Lower Buckeye Rd ,Phoenix,FD-08328,Food Processor ,Class 4,3/19/19,Routine Inspection,B,0,
Boulder Creek High School,40404 N Galvin Peak Pkwy ,New River,FD-08329,School Food Service ,Class 3,3/25/19,Verification Visit,A,0,
Thai Rama,2040 W Chandler Blvd ,Chandler,FD-08346,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,B,1,
Wal-Mart Supercenter No 5189,5250 W Indian School Rd ,Phoenix,FD-08354,Bakery ,Class 2,3/21/19,Verification Visit,A,0,
Wal-Mart Supercenter No 5189,5250 W Indian School Rd ,Phoenix,FD-08356,Retail Food Establishment ,Class 3,3/21/19,Verification Visit,A,0,
Wal-Mart Supercenter No 5189,5250 W Indian School Rd ,Phoenix,FD-08357,E & D 0-9 Seating ,Class 3,3/21/19,Verification Visit,A,0,
Valley Child Care & Learning Ctr No 1010,16303 W Bell Rd ,Surprise,FD-08360,Daycare Food Service ,Class 3,3/22/19,Routine Inspection,A,0,
Independence High School,6602 N 75th Ave ,Glendale,FD-08377,Food Catering ,Class 5,3/25/19,Routine Inspection,A,0,
North Mountain Medical & Rehab Center,9155 N 3rd St ,Phoenix,FD-08471,Nursing Home ,Class 5,3/22/19,Verification Visit,A,1,
Sam's Quick Stop,3518 W Buckeye Rd ,Phoenix,FD-08534,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Roses Catering,1734 W Bell Rd ,Phoenix,FD-08575,Food Catering ,Class 5,3/22/19,Routine Inspection,A,0,
Safeway No 1663,20901 N Pima Rd ,Scottsdale,FD-08616,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,Not Participating,0,
Canton Dragon,10190 N 90th St Suite 101,Scottsdale,FD-08622,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,Not Participating,2,
Banner Estrella Medical Center,9201 W Thomas Rd ,Phoenix,FD-08651,Hospital Food Service ,Class 5,3/19/19,Routine Inspection,A,0,
Scottsdale Marriott At Mcdowell Mtns,16770 N Perimeter Dr ,Scottsdale,FD-08654,Bakery ,Class 2,3/25/19,Routine Inspection,Not Participating,0,
Scottsdale Marriott At Mcdowell Mtns,16770 N Perimeter Dr ,Scottsdale,FD-08656,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,Not Participating,2,
Scottsdale Marriott At Mcdowell Mtns,16770 N Perimeter Dr ,Scottsdale,FD-08660,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,Not Participating,0,
Blue Star Rv Park,11050 E Apache Tr ,Apache Junction,FD-08707,E & D 10+ Seating ,Class 2,3/22/19,Routine Inspection,Not Participating,0,
Steve's Espresso,1801 E Baseline Rd Suite 102,Tempe,FD-08712,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,Not Participating,3,
Dollar Tree No 2658,6065 W Chandler Blvd Suite M4,Chandler,FD-08819,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
Mobil 2015,2015 W University Dr ,Mesa,FD-08857,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,Not Participating,1,
Wal-Mart Supercenter No 5186,2501 S Market St ,Gilbert,FD-08892,E & D 0-9 Seating ,Class 4,3/25/19,Routine Inspection,Not Participating,0,
Wal-Mart Supercenter No 5186,2501 S Market St ,Gilbert,FD-08893,Meat Market ,Class 4,3/25/19,Routine Inspection,Not Participating,0,
Dollar General No 6937,825 N Tegner St ,Wickenburg,FD-08914,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
Target No 1960,3931 S Gilbert Rd ,Gilbert,FD-08955,Bakery ,Class 2,3/25/19,Routine Inspection,Not Participating,0,
The Heritage At Carefree,36590 N Pima Rd POB 3481,Carefree,FD-09019,Assisted Living ,Class 5,3/21/19,Routine Inspection,B,1,
Hassayampa Elementary School,251 S Tegner Ln ,Wickenburg,FD-09112,School Food Service ,Class 3,3/25/19,Routine Inspection,B,1,
Target No 1960,3931 S Gilbert Rd ,Gilbert,FD-09115,Retail Food Establishment ,Class 3,3/25/19,Routine Inspection,Not Participating,1,
New River Senior Center,48606 N 17th Ave ,New River,FD-09116,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Quik' N Tasty Distribution Center,8501 W Latham St ,Tolleson,FD-09177,Food Jobber ,Class 2,3/19/19,Routine Inspection,A,0,
Mobil 3001,3001 E Washington St ,Phoenix,FD-09288,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Doubletree Resort By Hilton Pv,5401 N Scottsdale Rd ,Scottsdale,FD-09336,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,B,1,
Doubletree Resort By Hilton Pv,5401 N Scottsdale Rd ,Scottsdale,FD-09338,Food Catering ,Class 5,3/19/19,Routine Inspection,A,0,
Doubletree Resort By Hilton Pv,5401 N Scottsdale Rd ,Scottsdale,FD-09340,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,B,0,
Bj's Restaurant & Brewhouse,6622 E Superstition Springs Blvd ,Mesa,FD-09356,E & D 10+ Seating ,Class 4,3/22/19,Routine Inspection,Not Participating,0,
Otto's Empire Diner,3502 W Greenway Rd Suite 20,Phoenix,FD-09382,E & D 10+ Seating ,Class 4,3/23/19,Routine Inspection,A,0,
Starbucks Coffee No 10094,10001 W Bell Rd Suite 101 & 102,Sun City,FD-09509,E & D 10+ Seating ,Class 2,3/22/19,Routine Inspection,A,0,
Subway,5250 W Indian School Rd ,Phoenix,FD-09607,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Dillon's Arrowhead,20585 N 59th Ave ,Glendale,FD-09625,Food Catering ,Class 5,3/21/19,Routine Inspection,A,0,
Dillon's Arrowhead,20585 N 59th Ave ,Glendale,FD-09626,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Uncle Sam's Restaurant,18913 N 83rd Ave ,Peoria,FD-09710,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,Not Participating,0,
V H Lassen School,909 W Vineyard Rd ,Phoenix,FD-09774,E & D 10+ Seating ,Class 4,3/22/19,Routine Inspection,A,0,
El Taco Tote,3464 W Camelback Rd ,Phoenix,FD-09802,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,B,1,
Easy Stop,5430 N 59th Ave ,Glendale,FD-09832,E & D 0-9 Seating ,Class 2,3/25/19,Routine Inspection,A,0,
Easy Stop,5430 N 59th Ave ,Glendale,FD-09833,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
Michael's Catering,20645 N 28th St ,Phoenix,FD-09865,Food Catering ,Class 5,3/20/19,Routine Inspection,Not Participating,1,
Best Western Inn Of Chandler,950 N Arizona Ave ,Chandler,FD-09906,E & D 0-9 Seating ,Class 2,3/22/19,Routine Inspection,A,0,
Skeptical Chymist,15689 N Hayden Rd Suite L125,Scottsdale,FD-09921,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,Not Participating,0,
Water Mart No 50,10855 N Tatum Blvd Suite 140,Phoenix,FD-09953,E & D 0-9 Seating ,Class 2,3/25/19,Routine Inspection,A,0,
CVS Pharmacy No 5892,5050 W Baseline Rd ,Laveen,FD-10051,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
Little Caesars,8929 N Central Ave ,Phoenix,FD-10121,E & D 0-9 Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Dollar Tree Store No 3467,6750 W Peoria Ave ,Peoria,FD-10233,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,A,0,
CVS Pharmacy No 9279,16545 E Palisades Blvd ,Fountain Hills,FD-10291,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
La Quinta Inn & Suites No 976,6530 E Superstition Springs Blvd ,Mesa,FD-10409,E & D 0-9 Seating ,Class 2,3/22/19,Routine Inspection,A,0,
Ball Park Pizza & Subs,7615 W Thunderbird Rd Suite 101,Peoria,FD-10434,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,A,0,
Hot Bagels,6030 W Behrend Dr Suite 115,Glendale,FD-10558,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Grand Canyon University,3300 W Camelback Rd ,Phoenix,FD-10566,Food Catering ,Class 5,3/25/19,Routine Inspection,A,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-10609,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-10610,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-10611,Bakery ,Class 2,3/19/19,Routine Inspection,A,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-10612,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-10614,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-10616,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Charm Rice Company,10222 N 43rd Ave Suite 3,Glendale,FD-10774,Food Processor ,Class 4,3/20/19,Routine Inspection,A,0,
Starbuck's Coffee No 10539,3550 E Southern Ave 104,Mesa,FD-10829,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
West Park Elementary School,2700 S 257th Dr ,Buckeye,FD-10881,School Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Circle K Store No 3365,1959 S Greenfield Rd ,Mesa,FD-10898,Retail Food Establishment ,Class 2,3/19/19,Routine Inspection,A,0,
Quiktrip No 433,414 S Stapley Dr ,Mesa,FD-10907,E & D 0-9 Seating ,Class 2,3/21/19,Routine Inspection,A,0,
Quiktrip No 433,414 S Stapley Dr ,Mesa,FD-10908,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Subway No 40373,1229 E Mckellips Rd Suite 104,Mesa,FD-10978,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,B,2,
Durango County Prison I,3225 W Gibson Ln ,Phoenix,FD-11122,Service Kitchen ,Class 2,3/20/19,Routine Inspection,A,0,
Starbucks Coffee Co No 13484,1705 S Greenfield Rd 101,Mesa,FD-11300,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,B,0,
Top Notch Aircraft Catering LLC,717 W Coolidge St ,Phoenix,FD-11301,Food Catering ,Class 5,3/19/19,Routine Inspection,A,0,
Lost Dutchman,10936 E Apache Tr ,Apache Junction,FD-11302,E & D 10+ Seating ,Class 2,3/22/19,Routine Inspection,Not Participating,0,
Arizona School Meals LLC,1235 S 48th St Suite 3,Tempe,FD-11335,Food Catering ,Class 5,3/19/19,Routine Inspection,A,0,
Big Two Toyota Scion Of Chandler,1250 S Gilbert Rd ,Chandler,FD-11458,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,B,1,
Lenny's Burger Peoria,10635 N 59th Ave ,Glendale,FD-11480,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
Active Learning Center No 6,704 E Butler Dr ,Phoenix,FD-11506,Daycare Food Service ,Class 3,3/22/19,Routine Inspection,A,0,
Circle K Store No 3365,1959 S Greenfield Rd ,Mesa,FD-11524,E & D 0-9 Seating ,Class 2,3/19/19,Routine Inspection,B,0,
Subway No 39852,1923 S Signal Butte Rd Suite 4,Mesa,FD-11605,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,A,0,
Cracker Barrel,606 S Watson Rd ,Buckeye,FD-11697,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,B,1,
Banner Health - Banner Gateway Med Ctr,1900 N Higley Rd ,Gilbert,FD-11703,Hospital Food Service ,Class 5,3/21/19,Routine Inspection,Not Participating,0,
One Step Beyond Adult Training,9299 W Olive Ave Suite 311,Peoria,FD-11724,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Trevor G Browne High School,7402 W Catalina Dr ,Phoenix,FD-11811,Food Catering ,Class 5,3/20/19,Routine Inspection,B,0,
Banner Health - Banner Gateway Med Ctr,1900 N Higley Rd ,Gilbert,FD-11845,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,Not Participating,0,
Subway,2891 S Butterfield Tr ,Gila Bend,FD-11848,E & D 0-9 Seating ,Class 3,3/21/19,Routine Inspection,A,0,
McDonald's,802 Pima St ,Gila Bend,FD-11892,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
Ipys Catering,17423 N 25th Ave Suite 7,Phoenix,FD-11902,Food Catering ,Class 5,3/25/19,Routine Inspection,A,0,
Rio Mirage Cafe,13863 W Bell Rd ,Surprise,FD-11944,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,A,1,
Scottsdale Health Care Hospital,7400 E Thompson Peak Pkwy ,Scottsdale,FD-11946,Hospital Food Service ,Class 5,3/21/19,Routine Inspection,A,0,
Red House Asian Cuisine,8902 E Via Linda Suite 100,Scottsdale,FD-11954,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,Not Participating,0,
Shell No 28,20210 N Cave Creek Rd ,Phoenix,FD-11988,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
Bear Creek Golf Course,500 E Riggs Rd ,Chandler,FD-12061,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,Not Participating,2,
Magical Stars Preschool,2232 N 36th St ,Phoenix,FD-12110,Daycare Food Service ,Class 3,3/19/19,Routine Inspection,Not Participating,2,
Filiberto's,2955 N 91st Ave ,Phoenix,FD-12168,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,B,1,
Native Grill & Wings,7273 N 95th Ave ,Glendale,FD-12319,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,A,0,
Church's Chicken No 841,7444 S Central Ave ,Phoenix,FD-12322,E & D 10+ Seating ,Class 3,3/19/19,Routine Inspection,C,2,
India Dehli Restaurant,5104 E Mcdowell Rd ,Phoenix,FD-12375,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,Not Participating,0,
Walgreens No 10260,3230 E Chandler Heights Rd ,Gilbert,FD-12390,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,Not Participating,0,
Fairmont Scottsdale Princess,7575 E Princess Dr ,Scottsdale,FD-12408,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Solterra Assisted Living,350 S Alma School Rd ,Chandler,FD-12434,Assisted Living ,Class 5,3/22/19,Routine Inspection,Not Participating,1,
Starbucks Coffee No 11890,1690 N Dysart Rd ,Goodyear,FD-12488,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
Qt Kitchens,8501 W Latham St ,Tolleson,FD-12676,Food Processor ,Class 4,3/19/19,Routine Inspection,A,0,
4 Sons Food Store,15445 W Waddell Rd ,Surprise,FD-12683,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,Not Participating,0,
4 Sons Food Store,15445 W Waddell Rd ,Surprise,FD-12687,E & D 0-9 Seating ,Class 2,3/22/19,Routine Inspection,Not Participating,0,
Shell No 28,20210 N Cave Creek Rd ,Phoenix,FD-12732,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Sanctuary On Camelback Mountain,5700 E Mcdonald Dr ,Paradise Valley,FD-12743,E & D 0-9 Seating ,Class 2,3/21/19,Routine Inspection,Not Participating,0,
Sanctuary On Camelback Mountain,5700 E Mcdonald Dr ,Paradise Valley,FD-12744,Food Jobber ,Class 2,3/21/19,Routine Inspection,Not Participating,0,
Sanctuary On Camelback Mountain,5700 E Mcdonald Dr ,Paradise Valley,FD-12745,Food Catering ,Class 5,3/21/19,Routine Inspection,Not Participating,0,
Sanctuary On Camelback Mountain,5700 E Mcdonald Dr ,Paradise Valley,FD-12746,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,,0,
Subway,2020 W Baseline Rd Suite C-105,Phoenix,FD-12792,E & D 10+ Seating ,Class 3,3/25/19,Routine Inspection,Not Participating,0,
Amici Catering,1744 W Bell Rd ,Phoenix,FD-12805,Food Catering ,Class 5,3/22/19,Routine Inspection,A,0,
La Tapatia Panaderia Y Comedor,5436 S Central Ave ,Phoenix,FD-12881,Bakery ,Class 2,3/19/19,Routine Inspection,A,0,
Costco Wholesale No 1028,1444 S Sossaman Rd ,Mesa,FD-12897,E & D 0-9 Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Costco Wholesale No 1028,1444 S Sossaman Rd ,Mesa,FD-12898,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Costco Wholesale No 1028,1444 S Sossaman Rd ,Mesa,FD-12899,Meat Market ,Class 4,3/21/19,Routine Inspection,A,0,
Costco Wholesale No 1028,1444 S Sossaman Rd ,Mesa,FD-12900,Bakery ,Class 2,3/21/19,Routine Inspection,A,0,
Costco Wholesale No 1028,1444 S Sossaman Rd ,Mesa,FD-12901,E & D 10+ Seating ,Class 3,3/21/19,Routine Inspection,A,0,
El Atoron Cantina,4828 N 35th Ave ,Phoenix,FD-12992,E & D 10+ Seating ,Class 2,3/19/19,Routine Inspection,A,0,
McDonald's No 28599,5010 N 95th Ave ,Glendale,FD-12993,E & D 10+ Seating ,Class 3,3/20/19,Routine Inspection,A,0,
Little Caesars Pizza,3434 W Greenway Rd Suite 128,Phoenix,FD-13016,E & D 0-9 Seating ,Class 2,3/25/19,Routine Inspection,A,0,
In-N-Out Burger,2910 E Germann Rd ,Chandler,FD-13054,E & D 10+ Seating ,Class 3,3/25/19,Routine Inspection,Not Participating,0,
Yellow Brick Road Preschool Inc,392 E Windsor Ave ,Phoenix,FD-13060,Daycare Food Service ,Class 3,3/21/19,Routine Inspection,A,0,
Am/Pm Mini Market No 82222,7501 W Peoria Ave ,Peoria,FD-13137,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,A,0,
Am/Pm Mini Market No 82222,7501 W Peoria Ave ,Peoria,FD-13138,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,A,0,
Texas Roadhouse No 319,5086 S Power Rd ,Gilbert,FD-13212,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,A,0,
Baci Italian Bistro,8830 E Germann Rd Suite 32,Mesa,FD-13320,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,Not Participating,0,
Dutch Bros Coffee,2961 E Bell Rd ,Phoenix,FD-13442,E & D 0-9 Seating ,Class 2,3/22/19,Routine Inspection,A,0,
Nypd Pizza Restaurant No 8,2743 S Market St Suite 101,Gilbert,FD-13506,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,B,1,
Durango Grill,3341 W Durango St ,Phoenix,FD-13513,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,B,2,
5th Place Community Child Care,306 W 5th Pl ,Mesa,FD-13519,Daycare Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
All Star Preschool,1830 N Country Club Dr ,Mesa,FD-13522,Daycare Food Service ,Class 3,3/20/19,Routine Inspection,A,0,
Bank Of America Chandler Cafe,2575 W Chandler Blvd ,Chandler,FD-13525,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,Not Participating,0,
Taylor's Chowder House,3538 W Calavar Rd ,Phoenix,FD-13611,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,A,0,
Thai Basil,4929 W Chandler Blvd Suite 8,Chandler,FD-13619,E & D 10+ Seating ,Class 4,3/20/19,Routine Inspection,A,0,
Dollar Tree No 3952,5745 N 19th Ave ,Phoenix,FD-13731,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
Western Regional Medical Center,14200 W Fillmore St ,Goodyear,FD-13843,Hospital Food Service ,Class 5,3/21/19,Verification Visit,A,0,
Burger King No 16867,21551 N Lake Pleasant Pkwy ,Peoria,FD-13947,E & D 10+ Seating ,Class 3,3/22/19,Routine Inspection,B,1,
Amethyst Gardens,18170 N 91st Ave ,Peoria,FD-14010,Assisted Living ,Class 5,3/19/19,Routine Inspection,A,0,
Amethyst Arbor,9257 W Union Hills Dr ,Peoria,FD-14011,Assisted Living ,Class 5,3/19/19,Routine Inspection,A,0,
The Inn At The Amethyst,18172 N 91st Ave ,Peoria,FD-14013,Assisted Living ,Class 5,3/19/19,Routine Inspection,A,0,
Society Of St Vincent De Paul,5510 W Cholla St ,Glendale,FD-14097,Food Jobber ,Class 2,3/19/19,Routine Inspection,A,0,
Arco No 1509,10303 NW Grand Ave ,Sun City,FD-14176,E & D 0-9 Seating ,Class 2,3/22/19,Routine Inspection,A,0,
Arco No 1509,10303 NW Grand Ave ,Sun City,FD-14177,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,A,0,
The Pizza Buffet,3208 E Bell Rd ,Phoenix,FD-14204,E & D 10+ Seating ,Class 4,3/25/19,Routine Inspection,A,0,
Bitzee Mama's,7023 N 58th Ave ,Glendale,FD-14388,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
Mariscos De Guaymas,5030 W Mcdowell Rd Suite A35,Phoenix,FD-14415,Meat Market ,Class 4,3/21/19,Routine Inspection,A,0,
Circle K Store No 9179,1203 S Power Rd ,Mesa,FD-14490,Retail Food Establishment ,Class 2,3/22/19,Routine Inspection,B,0,
Circle K Store No 9172,1435 W Baseline Rd ,Tempe,FD-14559,Retail Food Establishment ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
The Pizza Buffet,3208 E Bell Rd ,Phoenix,FD-14593,Food Catering ,Class 5,3/25/19,Routine Inspection,A,0,
JJ Water & Ice,5817 S Central Ave ,Phoenix,FD-14616,E & D 0-9 Seating ,Class 2,3/25/19,Routine Inspection,Not Participating,0,
JJ Water & Ice,5817 S Central Ave ,Phoenix,FD-14617,Retail Food Establishment ,Class 2,3/25/19,Routine Inspection,Not Participating,0,
Village Inn No 779,17030 N Scottsdale Rd ,Scottsdale,FD-14632,E & D 10+ Seating ,Class 4,3/19/19,Routine Inspection,A,0,
Village Inn No 110864,5961 E Mckellips Rd ,Mesa,FD-14649,E & D 10+ Seating ,Class 4,3/21/19,Routine Inspection,B,1,
Super Star Carwash/C-Store,21695 N Lake Pleasant Pkwy ,Peoria,FD-14746,E & D 0-9 Seating ,Class 2,3/21/19,Routine Inspection,C,1,
Super Star Carwash/C-Store,21695 N Lake Pleasant Pkwy ,Peoria,FD-14747,Retail Food Establishment ,Class 2,3/21/19,Routine Inspection,A,0,
Circle K Store No 9172,1435 W Baseline Rd ,Tempe,FD-14808,E & D 0-9 Seating ,Class 2,3/20/19,Routine Inspection,Not Participating,0,
